station,name
47091001,AGEN
89295001,AUXERRE-PERRIGNY
68297001,BALE-MULHOUSE
25056001,BESANCON
64024001,BIARRITZ-ANGLET
33281001,BORDEAUX-MERIGNAC
18033001,BOURGES
29075001,BREST-GUIPAVAS
73329001,CHAMBERY-AIX
63113001,CLERMONT-FERRAND
16089001,COGNAC
21473001,DIJON-LONGVIC
35228001,DINARD-LE-PLEURTUIT
38384001,GRENOBLE-ST-GEOIRS
59343001,LILLE-LESQUIN
70473001,LUXEUIL
69029001,LYON-BRON
13054001,MARIGNANE
57039001,METZ-FRESCATY
26198001,MONTELIMAR
44020001,NANTES-BOUGUENAIS
06088001,NICE
30189001,NIMES-COURBESSAC
75114001,PARIS-MONTSOURIS
64549001,PAU-UZEIN
66136001,PERPIGNAN
51449002,REIMS-PRUNAY
76116001,ROUEN-BOOS
42005001,ST-ETIENNE-BOUTHEON
31069001,TOULOUSE-BLAGNAC
37179001,TOURS
74042003,BONNEVILLE
28070001,CHARTRES
68205001,COLMAR-MEYENHEIM
67124001,ENTZHEIM
